Dataset,Model,Accuracy,AUC,Precision,Recall,F1_macro,F1_micro,MCC,RMSE,MAE,R2,Spearman
bace,XGBoost,0.711,0.805,0.728,0.735,0.71,0.711,0.463,,,,
bace,LightGBM,0.711,0.826,0.728,0.735,0.71,0.711,0.463,,,,
bace,CatBoost,0.724,0.85,0.746,0.751,0.723,0.724,0.498,,,,
bbbp,XGBoost,0.88,0.935,0.9,0.845,0.862,0.88,0.743,,,,
bbbp,LightGBM,0.885,0.937,0.916,0.846,0.867,0.885,0.759,,,,
bbbp,CatBoost,0.88,0.936,0.906,0.842,0.861,0.88,0.745,,,,
caco2,XGBoost,,,,,,,,0.3697,0.2943,0.7099,0.8301
caco2,LightGBM,,,,,,,,0.3883,0.3096,0.68,0.827
caco2,CatBoost,,,,,,,,0.3513,0.2833,0.738,0.8451
clintox,XGBoost,0.979,0.988,0.909,0.853,0.879,0.979,0.761,,,,
clintox,LightGBM,0.986,0.982,0.925,0.925,0.925,0.986,0.85,,,,
clintox,CatBoost,0.979,0.978,0.871,0.921,0.894,0.979,0.791,,,,
dili,XGBoost,0.792,0.887,0.83,0.784,0.782,0.792,0.613,,,,
dili,LightGBM,0.812,0.902,0.828,0.808,0.808,0.812,0.635,,,,
dili,CatBoost,0.875,0.914,0.894,0.87,0.872,0.875,0.765,,,,
flavor,XGBoost,0.89,0.972,0.733,0.798,0.761,0.89,0.808,,,,
flavor,LightGBM,0.885,0.976,0.762,0.835,0.793,0.885,0.803,,,,
flavor,CatBoost,0.89,0.974,0.79,0.827,0.806,0.89,0.806,,,,
half_life,XGBoost,,,,,,,,11.7279,5.6865,0.1096,0.5019
half_life,LightGBM,,,,,,,,12.0205,5.7583,0.0646,0.4758
half_life,CatBoost,,,,,,,,12.1837,5.6057,0.039,0.5211
herg,XGBoost,0.802,0.874,0.802,0.802,0.802,0.802,0.604,,,,
herg,LightGBM,0.798,0.874,0.798,0.798,0.798,0.798,0.596,,,,
herg,CatBoost,0.796,0.874,0.796,0.796,0.796,0.796,0.592,,,,
