dataset,embedding_model,ml_model,AUC,AUPR,Accuracy,F1_macro,F1_micro,MCC,Precision,Recall
bbbp,ChemBERTa_77M_MLM_FL,CatBoost,0.927,0.941,0.875,0.858,0.875,0.728,0.886,0.844
bbbp,ChemBERTa_77M_MLM_FL,LightGBM,0.926,0.942,0.896,0.882,0.896,0.776,0.911,0.866
bbbp,ChemBERTa_77M_MLM_FL,XGBoost,0.926,0.943,0.875,0.857,0.875,0.73,0.89,0.841
bbbp,ChemBERTa_77M_MLM_WL,CatBoost,0.925,0.929,0.87,0.853,0.87,0.716,0.877,0.84
bbbp,ChemBERTa_77M_MLM_WL,LightGBM,0.921,0.94,0.865,0.844,0.865,0.707,0.883,0.826
bbbp,ChemBERTa_77M_MLM_WL,XGBoost,0.916,0.926,0.875,0.856,0.875,0.732,0.896,0.838
bbbp,ChemBERTa_77M_MTR_FL,CatBoost,0.934,0.96,0.854,0.836,0.854,0.68,0.856,0.824
bbbp,ChemBERTa_77M_MTR_FL,LightGBM,0.914,0.926,0.854,0.837,0.854,0.68,0.853,0.827
bbbp,ChemBERTa_77M_MTR_FL,XGBoost,0.919,0.929,0.849,0.829,0.849,0.668,0.852,0.817
bbbp,ChemBERTa_77M_MTR_WL,CatBoost,0.917,0.946,0.87,0.854,0.87,0.715,0.873,0.843
bbbp,ChemBERTa_77M_MTR_WL,LightGBM,0.879,0.887,0.859,0.842,0.859,0.692,0.861,0.831
bbbp,ChemBERTa_77M_MTR_WL,XGBoost,0.901,0.913,0.854,0.836,0.854,0.68,0.856,0.824
bbbp,MolFormer_Finetuned_FL,CatBoost,0.937,0.942,0.901,0.889,0.901,0.785,0.91,0.876
bbbp,MolFormer_Finetuned_FL,LightGBM,0.935,0.936,0.891,0.876,0.891,0.763,0.902,0.862
bbbp,MolFormer_Finetuned_FL,XGBoost,0.94,0.94,0.906,0.895,0.906,0.798,0.918,0.881
bbbp,Molformer_Finetuned_WL,CatBoost,0.946,0.96,0.885,0.872,0.885,0.75,0.889,0.861
bbbp,Molformer_Finetuned_WL,LightGBM,0.943,0.954,0.88,0.862,0.88,0.743,0.9,0.845
bbbp,Molformer_Finetuned_WL,XGBoost,0.95,0.957,0.87,0.85,0.87,0.718,0.887,0.834
