dataset,label,embedding_model,ml_model,AUC,AUPR,Accuracy,F1_macro,F1_micro,MCC,Precision,Recall
clintox,CT_TOX,ChemBERTa_77M_MLM_FL,CatBoost,0.981,0.879,0.958,0.873,0.958,0.746,0.873,0.873
clintox,CT_TOX,ChemBERTa_77M_MLM_FL,LightGBM,0.918,0.861,0.944,0.818,0.944,0.639,0.845,0.796
clintox,CT_TOX,ChemBERTa_77M_MLM_FL,XGBoost,0.954,0.883,0.965,0.89,0.965,0.782,0.905,0.877
clintox,CT_TOX,ChemBERTa_77M_MLM_WL,CatBoost,0.983,0.93,0.965,0.898,0.965,0.796,0.885,0.912
clintox,CT_TOX,ChemBERTa_77M_MLM_WL,LightGBM,0.989,0.939,0.979,0.934,0.979,0.869,0.951,0.919
clintox,CT_TOX,ChemBERTa_77M_MLM_WL,XGBoost,0.983,0.926,0.972,0.915,0.972,0.831,0.915,0.915
clintox,CT_TOX,ChemBERTa_77M_MTR_FL,CatBoost,0.981,0.916,0.972,0.915,0.972,0.831,0.915,0.915
clintox,CT_TOX,ChemBERTa_77M_MTR_FL,LightGBM,0.98,0.913,0.979,0.934,0.979,0.869,0.951,0.919
clintox,CT_TOX,ChemBERTa_77M_MTR_FL,XGBoost,0.975,0.907,0.965,0.898,0.965,0.796,0.885,0.912
clintox,CT_TOX,ChemBERTa_77M_MTR_WL,CatBoost,0.969,0.896,0.979,0.934,0.979,0.869,0.951,0.919
clintox,CT_TOX,ChemBERTa_77M_MTR_WL,LightGBM,0.982,0.924,0.979,0.934,0.979,0.869,0.951,0.919
clintox,CT_TOX,ChemBERTa_77M_MTR_WL,XGBoost,0.973,0.912,0.979,0.934,0.979,0.869,0.951,0.919
clintox,CT_TOX,MolFormer_Finetuned_FL,CatBoost,0.986,0.931,0.986,0.955,0.986,0.913,0.992,0.923
clintox,CT_TOX,MolFormer_Finetuned_FL,LightGBM,0.997,0.975,0.979,0.929,0.979,0.867,0.989,0.885
clintox,CT_TOX,MolFormer_Finetuned_FL,XGBoost,0.995,0.961,0.979,0.929,0.979,0.867,0.989,0.885
clintox,CT_TOX,Molformer_Finetuned_WL,CatBoost,0.992,0.948,0.972,0.915,0.972,0.831,0.915,0.915
clintox,CT_TOX,Molformer_Finetuned_WL,LightGBM,0.994,0.956,0.972,0.915,0.972,0.831,0.915,0.915
clintox,CT_TOX,Molformer_Finetuned_WL,XGBoost,0.996,0.97,0.972,0.915,0.972,0.831,0.915,0.915
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_FL,CatBoost,0.986,0.999,0.958,0.822,0.958,0.664,0.769,0.91
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_FL,LightGBM,0.987,0.999,0.951,0.803,0.951,0.633,0.746,0.907
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_FL,XGBoost,0.988,0.999,0.958,0.822,0.958,0.664,0.769,0.91
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_WL,CatBoost,0.988,0.999,0.951,0.82,0.951,0.689,0.75,0.974
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_WL,LightGBM,0.992,1.0,0.979,0.906,0.979,0.827,0.85,0.989
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_WL,XGBoost,0.986,0.999,0.965,0.859,0.965,0.75,0.792,0.982
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_FL,CatBoost,0.992,1.0,0.944,0.803,0.944,0.663,0.733,0.971
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_FL,LightGBM,0.988,0.999,0.951,0.82,0.951,0.689,0.75,0.974
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_FL,XGBoost,0.985,0.999,0.958,0.839,0.958,0.717,0.769,0.978
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_WL,CatBoost,0.986,0.999,0.965,0.859,0.965,0.75,0.792,0.982
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_WL,LightGBM,0.986,0.999,0.965,0.859,0.965,0.75,0.792,0.982
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_WL,XGBoost,0.989,0.999,0.958,0.839,0.958,0.717,0.769,0.978
clintox,FDA_APPROVED,MolFormer_Finetuned_FL,CatBoost,0.988,0.999,0.972,0.881,0.972,0.786,0.818,0.985
clintox,FDA_APPROVED,MolFormer_Finetuned_FL,LightGBM,0.986,0.999,0.979,0.906,0.979,0.827,0.85,0.989
clintox,FDA_APPROVED,MolFormer_Finetuned_FL,XGBoost,0.988,0.999,0.979,0.906,0.979,0.827,0.85,0.989
clintox,FDA_APPROVED,Molformer_Finetuned_WL,CatBoost,0.987,0.999,0.965,0.859,0.965,0.75,0.792,0.982
clintox,FDA_APPROVED,Molformer_Finetuned_WL,LightGBM,0.98,0.999,0.965,0.859,0.965,0.75,0.792,0.982
clintox,FDA_APPROVED,Molformer_Finetuned_WL,XGBoost,0.981,0.999,0.965,0.859,0.965,0.75,0.792,0.982
