dataset,embedding_model,ml_model,AUPR_class0,AUPR_class1,AUPR_class2,AUPR_class3,AUPR_class4,Accuracy,F1_macro,F1_micro,MCC
flavor,ChemBERTa_77M_MLM_FL,CatBoost,0.79,0.869,0.987,0.282,0.772,0.875,0.728,0.875,0.777
flavor,ChemBERTa_77M_MLM_FL,LightGBM,0.773,0.791,0.984,0.263,0.771,0.865,0.718,0.865,0.763
flavor,ChemBERTa_77M_MLM_FL,XGBoost,0.761,0.8,0.983,0.236,0.771,0.875,0.69,0.875,0.764
flavor,ChemBERTa_77M_MLM_WL,CatBoost,0.817,0.867,0.987,0.427,0.77,0.871,0.726,0.871,0.774
flavor,ChemBERTa_77M_MLM_WL,LightGBM,0.791,0.848,0.982,0.37,0.765,0.772,0.659,0.772,0.661
flavor,ChemBERTa_77M_MLM_WL,XGBoost,0.802,0.818,0.98,0.411,0.763,0.885,0.707,0.885,0.783
flavor,ChemBERTa_77M_MTR_FL,CatBoost,0.824,0.922,0.988,0.371,0.773,0.886,0.741,0.886,0.798
flavor,ChemBERTa_77M_MTR_FL,LightGBM,0.808,0.855,0.986,0.258,0.762,0.882,0.716,0.882,0.791
flavor,ChemBERTa_77M_MTR_FL,XGBoost,0.81,0.818,0.985,0.39,0.77,0.887,0.724,0.887,0.789
flavor,ChemBERTa_77M_MTR_WL,CatBoost,0.826,0.917,0.988,0.484,0.794,0.884,0.76,0.884,0.795
flavor,ChemBERTa_77M_MTR_WL,LightGBM,0.808,0.803,0.983,0.451,0.793,0.888,0.757,0.888,0.803
flavor,ChemBERTa_77M_MTR_WL,XGBoost,0.803,0.797,0.984,0.468,0.797,0.884,0.764,0.884,0.782
flavor,MolFormer_Finetuned_FL,CatBoost,0.806,0.928,0.986,0.483,0.745,0.885,0.782,0.885,0.79
flavor,MolFormer_Finetuned_FL,LightGBM,0.811,0.941,0.986,0.453,0.735,0.889,0.788,0.889,0.793
flavor,MolFormer_Finetuned_FL,XGBoost,0.806,0.935,0.985,0.6,0.733,0.886,0.772,0.886,0.786
flavor,Molformer_Finetuned_WL,CatBoost,0.837,0.95,0.988,0.548,0.768,0.893,0.774,0.893,0.804
flavor,Molformer_Finetuned_WL,LightGBM,0.831,0.945,0.988,0.548,0.758,0.892,0.794,0.892,0.798
flavor,Molformer_Finetuned_WL,XGBoost,0.829,0.954,0.987,0.546,0.758,0.891,0.771,0.891,0.794
