dataset,modality,embedding_model,ml_model,MCC,AUC,Accuracy,Precision,Recall,F1_macro,MCC_se,MCC_ci_lo,MCC_ci_hi,AUC_se,AUC_ci_lo,AUC_ci_hi,R2,MAE,Spearman,R2_se,R2_ci_lo,R2_ci_hi,Spearman_se,Spearman_ci_lo,Spearman_ci_hi
herg,hf,ChemBERTa_77M_MLM_FL,CatBoost,0.5438,0.8413,0.7717,0.7719,0.7719,0.7717,0.0162,0.5121,0.5756,0.0077,0.8263,0.8564,,,,,,,,,
herg,hf,ChemBERTa_77M_MLM_FL,LightGBM,0.5445,0.843,0.7721,0.7722,0.7723,0.7721,0.0162,0.5128,0.5762,0.0076,0.828,0.858,,,,,,,,,
herg,hf,ChemBERTa_77M_MLM_FL,XGBoost,0.5407,0.8423,0.7703,0.7703,0.7703,0.7703,0.0162,0.5089,0.5724,0.0077,0.8273,0.8573,,,,,,,,,
herg,hf,ChemBERTa_77M_MLM_WL,CatBoost,0.5341,0.8399,0.7669,0.767,0.767,0.7669,0.0162,0.5022,0.5659,0.0076,0.8251,0.8547,,,,,,,,,
herg,hf,ChemBERTa_77M_MLM_WL,LightGBM,0.5393,0.8373,0.7695,0.7696,0.7696,0.7695,0.0163,0.5074,0.5711,0.0077,0.8223,0.8524,,,,,,,,,
herg,hf,ChemBERTa_77M_MLM_WL,XGBoost,0.5414,0.8419,0.7706,0.7707,0.7707,0.7706,0.0162,0.5096,0.5732,0.0075,0.8271,0.8567,,,,,,,,,
herg,hf,ChemBERTa_77M_MTR_FL,CatBoost,0.5517,0.8488,0.7758,0.7758,0.7759,0.7758,0.016,0.5204,0.583,0.0074,0.8344,0.8633,,,,,,,,,
herg,hf,ChemBERTa_77M_MTR_FL,LightGBM,0.546,0.8508,0.7729,0.773,0.773,0.7729,0.0162,0.5142,0.5778,0.0073,0.8364,0.8652,,,,,,,,,
herg,hf,ChemBERTa_77M_MTR_FL,XGBoost,0.5519,0.8488,0.7758,0.7759,0.7759,0.7758,0.0161,0.5202,0.5835,0.0074,0.8342,0.8633,,,,,,,,,
herg,hf,ChemBERTa_77M_MTR_WL,CatBoost,0.5517,0.8515,0.7755,0.776,0.7757,0.7754,0.0162,0.5199,0.5835,0.0074,0.8371,0.8659,,,,,,,,,
