embedding,clm,variant,tree,AUC,Acc,F1mac,F1mic,MCC,Prec,Rec
ChemBERTa_77M_MTR,ChemBERTa,FL,XGBoost,0.966,0.887,0.724,0.887,0.789,0.867,0.701
ChemBERTa_77M_MTR,ChemBERTa,FL,LightGBM,0.953,0.882,0.716,0.882,0.791,0.689,0.754
ChemBERTa_77M_MTR,ChemBERTa,FL,CatBoost,0.969,0.886,0.741,0.886,0.798,0.731,0.756
ChemBERTa_77M_MTR,ChemBERTa,WL,XGBoost,0.956,0.884,0.764,0.884,0.782,0.869,0.728
ChemBERTa_77M_MTR,ChemBERTa,WL,LightGBM,0.951,0.888,0.757,0.888,0.803,0.730,0.793
ChemBERTa_77M_MTR,ChemBERTa,WL,CatBoost,0.970,0.884,0.760,0.884,0.795,0.738,0.788
ChemBERTa_77M_MLM,ChemBERTa,FL,XGBoost,0.952,0.875,0.690,0.875,0.764,0.716,0.676
ChemBERTa_77M_MLM,ChemBERTa,FL,LightGBM,0.941,0.865,0.718,0.865,0.763,0.706,0.738
ChemBERTa_77M_MLM,ChemBERTa,FL,CatBoost,0.964,0.875,0.728,0.875,0.777,0.720,0.740
ChemBERTa_77M_MLM,ChemBERTa,WL,XGBoost,0.952,0.885,0.707,0.885,0.783,0.734,0.693
ChemBERTa_77M_MLM,ChemBERTa,WL,LightGBM,0.959,0.772,0.659,0.772,0.661,0.627,0.756
ChemBERTa_77M_MLM,ChemBERTa,WL,CatBoost,0.970,0.871,0.726,0.871,0.774,0.692,0.778
MolFormer_Finetuned,MolFormer,FL,XGBoost,0.955,0.886,0.772,0.886,0.786,0.790,0.757
MolFormer_Finetuned,MolFormer,FL,LightGBM,0.953,0.889,0.788,0.889,0.793,0.818,0.768
MolFormer_Finetuned,MolFormer,FL,CatBoost,,,,,,,
MolFormer_Finetuned,MolFormer,WL,XGBoost,0.967,0.891,0.771,0.891,0.794,0.877,0.733
MolFormer_Finetuned,MolFormer,WL,LightGBM,0.964,0.892,0.794,0.892,0.798,0.825,0.775
MolFormer_Finetuned,MolFormer,WL,CatBoost,0.963,0.893,0.774,0.893,0.804,0.868,0.749
UniMol,UniMol,FL,XGBoost,0.935,0.851,0.669,0.851,0.722,0.816,0.647
UniMol,UniMol,FL,LightGBM,0.946,0.768,0.615,0.768,0.638,0.598,0.677
UniMol,UniMol,FL,CatBoost,0.931,0.866,0.714,0.866,0.764,0.704,0.731
UniMol,UniMol,WL,XGBoost,0.939,0.849,0.670,0.849,0.719,0.812,0.649
UniMol,UniMol,WL,LightGBM,0.938,0.799,0.653,0.799,0.677,0.644,0.695
UniMol,UniMol,WL,CatBoost,0.935,0.865,0.737,0.865,0.761,0.725,0.757
