embedding,tree,AUC,Acc,F1_mac,F1_mic,MCC,Prec,Rec,AUPR_C0,AUPR_C1,AUPR_C2,AUPR_C3,AUPR_C4
ChemBERTa_77M_MTR_WL,XGBoost,0.956,0.884,0.764,0.884,0.782,0.869,0.728,0.803,0.797,0.984,0.468,0.797
ChemBERTa_77M_MTR_WL,LightGBM,0.951,0.888,0.757,0.888,0.803,0.73,0.793,0.808,0.803,0.983,0.451,0.793
ChemBERTa_77M_MTR_WL,CatBoost,0.97,0.884,0.76,0.884,0.795,0.738,0.788,0.826,0.917,0.988,0.484,0.794
ChemBERTa_77M_MLM_WL,XGBoost,0.952,0.885,0.707,0.885,0.783,0.734,0.693,0.802,0.818,0.98,0.411,0.763
ChemBERTa_77M_MLM_WL,LightGBM,0.959,0.772,0.659,0.772,0.661,0.627,0.756,0.791,0.848,0.982,0.37,0.765
ChemBERTa_77M_MLM_WL,CatBoost,0.97,0.871,0.726,0.871,0.774,0.692,0.778,0.817,0.867,0.987,0.427,0.77
Molformer_Finetuned_WL,XGBoost,0.967,0.891,0.771,0.891,0.794,0.877,0.733,0.829,0.954,0.987,0.546,0.758
UniMol_FL,XGBoost,0.935,0.851,0.669,0.851,0.722,0.816,0.647,0.669,0.733,0.979,0.242,0.751
UniMol_FL,LightGBM,0.946,0.768,0.615,0.768,0.638,0.598,0.677,0.702,0.747,0.981,0.387,0.765
UniMol_WL,XGBoost,0.939,0.849,0.67,0.849,0.719,0.812,0.649,0.661,0.753,0.978,0.261,0.737
UniMol_WL,LightGBM,0.938,0.799,0.653,0.799,0.677,0.644,0.695,0.727,0.766,0.982,0.356,0.764
UniMol_WL,CatBoost,0.935,0.865,0.737,0.865,0.761,0.725,0.757,0.744,0.849,0.983,0.507,0.728
