Dataset,Method,Metric,Mean,SE
CACO2,PC-only,R2,0.7444,0.0358
CACO2,PC-only,Spearman,0.8534,0.0211
CACO2,Chemprop,R2,0.5339,0.0790
CACO2,Chemprop,Spearman,0.8022,0.0294
CACO2,GCN,R2,0.2444,0.1104
CACO2,GCN,Spearman,0.7327,0.0342
CACO2,"E2E LoRA (ChemBERTa-MTR, Huber)",R2,0.6215,0.0501
CACO2,"E2E LoRA (ChemBERTa-MTR, Huber)",Spearman,0.7893,0.0318
CACO2,"E2E LoRA (Uni-Mol, Huber)",R2,0.4108,0.0863
CACO2,"E2E LoRA (Uni-Mol, Huber)",Spearman,0.5800,0.0565
HALF_LIFE,PC-only,R2,0.1096,0.0613
HALF_LIFE,PC-only,Spearman,0.5019,0.0750
HALF_LIFE,Chemprop,R2,-0.0200,0.0356
HALF_LIFE,Chemprop,Spearman,0.3316,0.0841
HALF_LIFE,GCN,R2,0.1140,0.1087
HALF_LIFE,GCN,Spearman,0.4183,0.0777
HALF_LIFE,"E2E LoRA (ChemBERTa-MTR, Huber)",R2,0.0717,0.1291
HALF_LIFE,"E2E LoRA (ChemBERTa-MTR, Huber)",Spearman,0.5406,0.0654
HALF_LIFE,"E2E LoRA (Uni-Mol, Huber)",R2,-0.0716,0.2671
HALF_LIFE,"E2E LoRA (Uni-Mol, Huber)",Spearman,0.5176,0.0720
